"convid","cm","client","subject","open","accepted","updated","created"
1086,28,532,"New Convo 2016-07-27 at 20:25:55.274",FALSE,TRUE,"2016-07-27 20:28:00.950063+00","2016-07-27 20:27:41.549722+00"
1087,28,532,"New Convo 2016-07-27 at 20:27:50.517",FALSE,TRUE,"2016-07-27 21:34:32.718914+00","2016-07-27 20:29:36.795214+00"
1243,73,636,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 18:58:23.092931+00","2016-08-01 18:53:49.392864+00"
1216,64,621,"New Conversation on 08/01",TRUE,TRUE,"2016-08-23 22:47:03.294798+00","2016-08-01 15:48:13.559815+00"
1083,22,576,"New Convo 2016-07-27 at 19:50:09.789",FALSE,TRUE,"2016-07-28 14:03:58.416737+00","2016-07-27 19:51:56.033556+00"
1219,74,622,"Message to set appointment.",FALSE,TRUE,"2016-08-01 16:07:45.377582+00","2016-08-01 16:07:45.377582+00"
1106,22,557,"New Convo 2016-07-28 at 14:04:40.391",FALSE,TRUE,"2016-07-28 16:27:23.454885+00","2016-07-28 14:06:27.625021+00"
1244,73,637,"New Conversation on 08/01",TRUE,TRUE,"2016-08-01 19:04:44.768508+00","2016-08-01 19:04:44.768508+00"
1085,22,574,"New Convo 2016-07-27 at 20:08:04.550",FALSE,TRUE,"2016-07-28 16:27:31.425497+00","2016-07-27 20:09:50.810325+00"
1220,74,622,"Message to set appointment.",FALSE,TRUE,"2016-08-01 16:07:58.2332+00","2016-08-01 16:07:58.2332+00"
1222,74,622,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:30:34.599814+00","2016-08-01 16:30:34.599814+00"
1119,70,579,"New Convo 2016-07-28 at 18:43:46.664",FALSE,TRUE,"2016-07-28 19:20:05.182923+00","2016-07-28 18:45:34.150471+00"
1323,67,661,"New Conversation on 08/04",TRUE,TRUE,"2016-08-04 14:58:16.622603+00","2016-08-04 14:53:24.660435+00"
1377,71,616,"Testing",FALSE,TRUE,"2016-08-05 16:15:42.032539+00","2016-08-05 16:15:42.032539+00"
1218,74,622,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:33:45.531873+00","2016-08-01 16:07:12.058667+00"
1300,63,433,"Treatment Proof",FALSE,TRUE,"2016-08-04 17:54:19.092627+00","2016-08-03 14:13:58.653673+00"
1284,22,566,"New Conversation on 08/02",FALSE,TRUE,"2016-08-02 17:15:03.170002+00","2016-08-02 17:12:30.443667+00"
1117,70,581,"New Convo 2016-07-28 at 18:14:27.971",FALSE,TRUE,"2016-07-28 19:33:25.653449+00","2016-07-28 18:16:15.428716+00"
1217,74,622,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:38:32.367797+00","2016-08-01 16:06:58.137011+00"
1223,74,622,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:38:58.589099+00","2016-08-01 16:30:55.540914+00"
1116,22,570,"New Convo 2016-07-28 at 17:18:27.231",FALSE,TRUE,"2016-07-28 20:45:54.938499+00","2016-07-28 17:20:14.638182+00"
1140,28,101,"Graduation",FALSE,TRUE,"2016-07-28 21:59:17.262788+00","2016-07-28 21:59:13.030657+00"
1141,28,48,"Graduation",FALSE,TRUE,"2016-07-28 21:59:38.134309+00","2016-07-28 21:59:34.555981+00"
1142,28,55,"Graduation",FALSE,TRUE,"2016-07-28 21:59:57.532054+00","2016-07-28 21:59:53.442805+00"
1225,74,622,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:41:02.801802+00","2016-08-01 16:41:02.801802+00"
1226,74,622,"New Conversation on 08/01",TRUE,TRUE,"2016-08-01 16:41:22.798174+00","2016-08-01 16:41:22.798174+00"
1230,73,626,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 17:08:59.806072+00","2016-08-01 17:08:47.053109+00"
1232,73,628,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 17:17:21.17164+00","2016-08-01 17:17:04.756643+00"
1231,73,627,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 17:17:33.488576+00","2016-08-01 17:13:59.502031+00"
1233,73,629,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 17:24:49.912922+00","2016-08-01 17:24:41.731206+00"
1235,73,630,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 17:36:13.786046+00","2016-08-01 17:30:11.705035+00"
1240,73,633,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 18:41:32.083677+00","2016-08-01 18:41:22.245686+00"
1241,73,634,"New Conversation on 08/01",TRUE,TRUE,"2016-08-01 18:43:55.411641+00","2016-08-01 18:43:55.411641+00"
1239,73,632,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 18:45:09.512046+00","2016-08-01 18:37:14.862739+00"
1242,73,635,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 18:47:33.737171+00","2016-08-01 18:47:26.780264+00"
1251,10,639,"New Conversation on 08/01",TRUE,TRUE,"2016-08-01 21:00:16.089638+00","2016-08-01 21:00:16.089638+00"
1215,63,440,"Failed to Report",FALSE,TRUE,"2016-08-01 21:56:16.133152+00","2016-08-01 15:26:38.77855+00"
1256,28,52,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 23:30:29.393698+00","2016-08-01 23:30:26.288006+00"
1258,28,64,"Phase Up Paper",FALSE,TRUE,"2016-08-02 00:19:50.071223+00","2016-08-02 00:19:47.282796+00"
1324,14,662,"New Conversation on 08/04",FALSE,TRUE,"2016-08-04 14:58:11.311984+00","2016-08-04 14:58:11.311984+00"
1289,54,654,"New Conversation on 08/02",TRUE,TRUE,"2016-08-02 21:09:20.820628+00","2016-08-02 21:09:20.820628+00"
1286,75,653,"New Conversation on 08/02",TRUE,TRUE,"2016-08-02 22:37:02.909764+00","2016-08-02 20:30:49.883815+00"
1299,63,334,"Missed Drug Test",FALSE,TRUE,"2016-08-04 22:19:02.42563+00","2016-08-03 14:04:57.784773+00"
1282,22,566,"New Conversation on 08/02",FALSE,TRUE,"2016-08-02 17:12:18.846179+00","2016-08-02 17:12:18.846179+00"
1301,64,657,"New Conversation on 08/03",TRUE,TRUE,"2016-08-03 14:23:13.671554+00","2016-08-03 14:22:49.003946+00"
1309,16,559,"New Conversation on 08/03",FALSE,TRUE,"2016-08-03 21:34:37.375652+00","2016-08-03 21:34:37.375652+00"
1344,73,673,"New Conversation on 08/04",TRUE,TRUE,"2016-08-04 19:33:03.201684+00","2016-08-04 19:33:03.201684+00"
1310,16,559,"New Conversation on 08/03",FALSE,TRUE,"2016-08-03 21:34:48.219834+00","2016-08-03 21:34:48.219834+00"
1311,16,559,"New Conversation on 08/03",FALSE,TRUE,"2016-08-03 21:35:26.480268+00","2016-08-03 21:35:26.480268+00"
990,28,533,"New Convo 2016-07-21 at 00:03:15.636",FALSE,TRUE,"2016-07-21 00:19:33.019367+00","2016-07-21 00:04:53.022426+00"
